id,predicted_price
2591820310,335548.6
7974200820,676891.1
7701450110,1245498.9
9522300010,1403180.9
9510861140,589478.9
1761300310,253184.17
7732410120,641776.44
7010701383,644076.94
291310170,440862.47
4232901990,505038.5
6840701125,507841.22
3971700580,435163.97
4202400078,247610.61
6064800090,364845.8
2626119028,288625.94
3303980660,869635.75
862000020,558485.9
2386000070,866459.3
1138000450,331654.5
1775800420,514379.56
2291401425,368329.25
2025770560,1006316.2
3525069037,656505.4
9324800450,633381.3
8080400136,444192.25
8651540040,484649.22
9407001790,238181.08
1773101530,219793.31
9432900250,314773.2
1794500695,564337.8
2220069003,287409.97
923000120,561025.3
5728000060,467602.1
16000200,280589.06
1926059094,448176.3
6672900220,880599.44
3629860060,704737.4
1822069109,338107.47
6675500105,378716.7
249000180,1229967.5
226059065,478685.03
396100110,296540.72
9264450460,288177.62
7853361210,355339.34
9474700020,257024.14
421000455,242981.9
3755200220,407556.1
7960100075,391167.62
9477100490,367700.34
9138100350,788364.3
1624049275,402269.3
2770606890,460859.94
1157200189,341644.03
2770601800,486207.94
9301300805,536496.25
2325069032,986064.8
1021079099,285866.56
7215730040,729483.56
1853200080,456911.22
3224600340,603454.56
3222049120,390569.34
2113700025,254109.92
7893207925,213307.84
3586501085,604382.4
8024200010,417977.3
7116500705,174720.5
1598600209,327038.1
7204200025,807964.7
4206901505,392146.6
2937300440,834643.25
7205000180,301005.53
8718500665,380255.16
5318101765,819255.7
4122700020,855230.3
8078700020,525325.8
3303980680,742630.9
8924100372,868169.0
2781270210,237306.81
519000043,439994.25
3225069301,1689869.2
151000075,613703.94
2297400020,422928.12
6617500085,494304.25
104510180,244973.83
3528900060,975980.3
3345100286,490490.28
1226039130,512439.2
8712100720,803145.56
3037200010,369321.88
3626039268,411540.34
104510230,255669.77
5112800060,329213.53
6072400280,692990.1
5317100570,885160.44
9528102993,433208.72
2919201095,388939.8
6181400920,275048.9
185000161,276239.72
8691400010,749918.0
3345700165,458484.78
6151800486,183224.0
4340000080,983749.5
4136960010,541744.1
3634100030,341285.8
1624059224,1148065.1
2788400090,250058.42
9828200762,392743.2
7524400250,542694.56
3528000290,609007.6
5700003630,1589648.5
2720069019,238981.08
7227501170,260474.84
2397101270,577024.75
6792100090,614158.9
2770602265,585837.2
3971700937,348195.72
422049203,214042.05
3076500830,278772.7
1423400260,272593.7
9161100795,470595.88
3126049052,466523.25
5100401468,350552.7
514500235,455238.84
1423200170,218352.16
1402100070,367066.16
624110020,769355.25
2407000145,205516.58
1890000225,566908.2
1320069271,251562.22
5490700085,383323.06
263000155,458229.94
3726800201,415758.16
5153200358,289516.66
2725079018,719701.5
7165700200,349220.97
9429000170,522035.12
8718500075,380383.56
1760650950,307882.25
1068000559,1194147.2
4113800500,483671.28
4077800507,475234.0
2725069150,687145.56
4008400035,530488.1
7016310270,448419.16
1432701230,223753.77
3278606050,437939.62
2473350710,323231.66
2185000685,228440.84
7792000025,319755.16
6868200029,475358.66
624069003,770345.7
7431500280,751966.9
3296000040,470735.9
1118001215,1095772.4
6453900040,761352.75
333100209,554371.75
34001765,533632.56
8946700100,365863.22
5561401210,734478.94
